,scale1,scale2,scale3,scale4,scale5,scale6,scale7,scale8,scale9,scale10,scale11,scale12,scale13,scale14,scale15
1,2,1,-2,-1,2,-1,2,0,2,-1,1,1,-1,-2,2
2,1,-1,-1,2,1,1,-1,1,0,0,1,1,1,-1,1
3,2,2,1,-2,1,1,1,0,2,1,0,1,0,1,-1
4,-1,1,1,2,0,-1,-2,-1,-1,0,1,0,-1,-1,0
5,-1,-1,1,1,1,-2,-1,2,-1,1,1,0,-1,1,0
6,1,1,1,2,0,2,1,2,0,1,-1,-1,1,2,1
7,2,2,2,1,-1,2,0,0,1,2,-1,-1,1,1,0
8,1,1,0,0,0,1,-1,-2,1,1,0,0,-1,0,2
9,-1,1,-1,2,0,1,-2,-2,2,2,0,0,0,0,2
10,0,-1,2,-1,0,1,-1,-1,-1,-1,0,-1,2,-1,2
11,-1,0,-1,1,1,-1,-1,1,-1,1,1,0,0,0,-1
12,0,-1,1,-1,1,1,-1,-1,1,-2,1,0,0,-2,2
13,-1,-2,-1,0,1,-2,-1,1,1,0,1,1,-1,-2,1
14,2,2,1,-1,0,1,-2,1,1,1,-1,1,0,1,-1
15,-2,-1,1,1,1,-2,-1,1,-1,0,0,0,-1,-1,1
16,0,2,-1,-1,1,1,-1,2,2,1,0,0,1,1,0
17,0,1,1,2,-1,1,-1,1,-1,1,-1,-1,1,1,1
18,2,2,-1,-1,1,1,1,1,2,1,-1,-1,0,1,-1
19,-1,-1,1,1,-1,-1,1,-1,-1,-2,0,0,1,-1,1
20,0,1,-1,1,1,1,-1,-1,1,2,0,1,1,1,-1
16,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,-1,1
6,0,1,2,1,-1,1,0,1,-1,1,0,0,1,1,-1
