"","ML1","ML2"
"scale1",0.966985349400101,0.132440870843401
"scale2",0.73348487548075,-0.346070339869789
"scale3",0.563324211868355,-0.158727582150674
"scale4",-0.0709412665671018,-0.109948446685772
"scale5",-0.0535343123554944,0.789536986693474
"scale6",0.872215273651273,0.0300248513065004
"scale7",0.788437409238873,0.709928554967747
"scale8",0.0258349391844806,-0.699765357233939
"scale9",0.459885397000466,0.484648437160523
"scale10",0.11791552545817,-0.63475278112191
"scale11",-0.871331023831132,0.215577485308815
"scale12",-0.757202759682227,0.120806240088417
"scale13",0.681013010076985,0.055331904095968
"scale14",0.797228081415001,-0.187078286212421
"scale15",-0.432036693770799,0.648538042415328
